Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
30,TPE,-0.025943605,10:33.6,10:40.1,0 days 00:00:06.449479,1.056264721,SVM,,WPD,,WAVE,,,,,,,,0.5,,,sigmoid,0.35,db4,,,0.91,,PRUNED,0
31,TPE,0.81603,10:40.1,10:44.4,0 days 00:00:04.296573,,KNN,,WPD,,WAVE,,minkowski,8,,,,,0.75,,,,0.25,db4,110016.21,3.47,0.65,0.06227067,COMPLETE,0
32,TPE,0.81603,10:44.4,10:48.7,0 days 00:00:04.305698,,KNN,,WPD,,WAVE,,minkowski,8,,,,,0.75,,,,0.25,db4,110016.21,3.45,0.67,0.060811071,COMPLETE,0
33,TPE,0.88971,10:48.7,13:23.7,0 days 00:02:34.989072,,KNN,,WPD,,WAVE,,minkowski,7,,,,,0.85,,,,0.5,db4,110181.63,0.64,154.13,0.078484812,COMPLETE,0
34,TPE,0.321646772,13:23.7,14:46.5,0 days 00:01:22.803891,,KNN,,WPD,,STAT,,minkowski,7,,,,,0.85,,,,0.5,db4,,,82.19,,PRUNED,0
35,TPE,0.45286866,14:46.5,17:01.1,0 days 00:02:14.548945,,KNN,15,WPD,,ENT,,minkowski,7,,,,2,0.85,,,,0.6,db4,,,134.02,,PRUNED,0
36,TPE,0.272297477,17:01.1,17:05.0,0 days 00:00:03.858573,,MLP,,NONE,,WAVE,,,,0.001514729,,1,,0.85,,,,,,,,0.71,,PRUNED,0
37,TPE,0.333989825,17:05.0,18:05.7,0 days 00:01:00.729375,,RF,,WPD,,FRAC,40,,,,,,,0.7,1010,302,,0.4,db4,,,57.63,,PRUNED,0
38,TPE,0.83801,18:05.7,18:07.4,0 days 00:00:01.639956,,KNN,,NONE,,WAVE,,minkowski,8,,,,,0.8,,,,,,110478.85,0.65,0.8,0.051758785,COMPLETE,0
39,TPE,0.421358759,18:07.4,18:42.6,0 days 00:00:35.203724,,MLP,,NONE,,STAT,,,,0.002371993,,402,,0.8,,,,,,,,0.55,,PRUNED,0
40,TPE,0.004817531,18:42.6,21:18.7,0 days 00:02:36.154748,0.000161906,SVM,13,NONE,,ENT,,,,,,,5,0.85,,,rbf,,,,,149.78,,PRUNED,0
41,TPE,0.83801,21:18.8,21:20.2,0 days 00:00:01.420443,,KNN,,NONE,,WAVE,,minkowski,8,,,,,0.8,,,,,,110575.01,0.63,0.6,0.041610727,COMPLETE,0
42,TPE,0.83652,21:20.2,21:21.7,0 days 00:00:01.473729,,KNN,,NONE,,WAVE,,minkowski,9,,,,,0.8,,,,,,110583.08,0.6,0.7,0.041168938,COMPLETE,0
43,TPE,0.83082,21:21.7,21:23.2,0 days 00:00:01.516707,,KNN,,NONE,,WAVE,,minkowski,10,,,,,0.8,,,,,,110591.15,0.64,0.68,0.041363726,COMPLETE,0
44,TPE,0.184786783,21:23.2,21:24.0,0 days 00:00:00.806047,,RF,,NONE,,FRAC,2,,,,,,,0.8,1010,2,,,,,,0.24,,PRUNED,0
45,TPE,0.83082,21:24.1,21:25.6,0 days 00:00:01.520701,,KNN,,NONE,,WAVE,,minkowski,10,,,,,0.8,,,,,,110601.58,0.63,0.7,0.060221691,COMPLETE,0
46,TPE,0.88218,21:25.6,21:27.1,0 days 00:00:01.510612,,KNN,,NONE,,WAVE,,minkowski,5,,,,,0.85,,,,,,110613.34,0.55,0.78,0.050291548,COMPLETE,0
47,TPE,0.90263,21:27.1,21:28.7,0 days 00:00:01.537738,,KNN,,NONE,,WAVE,,minkowski,4,,,,,0.9,,,,,,110632.51,0.69,0.65,0.056835432,COMPLETE,0
48,TPE,0.762085074,21:28.7,21:39.3,0 days 00:00:10.594659,,MLP,,NONE,,WAVE,,,,0.006303778,,10,,0.95,,,,,,,,0.71,,PRUNED,0
49,TPE,0.317537378,21:39.3,21:40.1,0 days 00:00:00.861740,,KNN,9,NONE,,ENT,,minkowski,4,,,,4,0.9,,,,,,,,0.38,,PRUNED,0
50,TPE,0.372285469,21:40.2,21:43.7,0 days 00:00:03.553882,,RF,,NONE,,FRAC,40,,,,,,,0.95,10,92,,,,,,0.36,,PRUNED,0
51,TPE,0.88218,21:43.7,21:45.3,0 days 00:00:01.568881,,KNN,,NONE,,WAVE,,minkowski,5,,,,,0.85,,,,,,110723.29,0.64,0.73,0.041075954,COMPLETE,0
52,TPE,0.90269,21:45.3,21:46.9,0 days 00:00:01.630463,,KNN,,NONE,,WAVE,,minkowski,5,,,,,0.9,,,,,,110742.45,0.75,0.68,0.05367281,COMPLETE,0
53,TPE,0.90269,21:47.0,21:48.5,0 days 00:00:01.582912,,KNN,,NONE,,WAVE,,minkowski,5,,,,,0.9,,,,,,110742.45,0.76,0.61,0.054322977,COMPLETE,0
54,TPE,0.90269,21:48.6,21:50.1,0 days 00:00:01.509470,,KNN,,NONE,,WAVE,,minkowski,5,,,,,0.9,,,,,,110742.45,0.7,0.61,0.05330636,COMPLETE,0
55,TPE,0.345275047,21:50.1,21:54.5,0 days 00:00:04.404518,0.037431551,SVM,,NONE,,WAVE,,,,,,,,1,,,linear,,,,,0.5,,PRUNED,0
56,TPE,0.299234727,21:54.5,21:56.2,0 days 00:00:01.664616,,KNN,,NONE,,STAT,,minkowski,4,,,,,0.9,,,,,,,,1.01,,PRUNED,0
57,TPE,0.96086,21:56.2,21:57.8,0 days 00:00:01.668493,,KNN,,NONE,,WAVE,,minkowski,1,,,,,0.9,,,,,,110965.7,0.66,0.81,0.056612749,COMPLETE,0
58,TPE,0.96086,21:57.9,21:59.4,0 days 00:00:01.552957,,KNN,,NONE,,WAVE,,minkowski,1,,,,,0.9,,,,,,110965.7,0.6,0.76,0.051024456,COMPLETE,0
59,TPE,0.329288471,21:59.4,22:00.4,0 days 00:00:00.973912,,LR,,NONE,,WAVE,,,,,0.109075608,,,0.9,,,,,,,,0.66,,PRUNED,0
60,TPE,0.95462,22:00.4,22:02.1,0 days 00:00:01.678852,,KNN,,NONE,,WAVE,,minkowski,1,,,,,0.95,,,,,,111020.5,0.78,0.63,0.067689915,COMPLETE,0
61,TPE,0.95462,22:02.1,22:04.1,0 days 00:00:01.947567,,KNN,,NONE,,WAVE,,minkowski,1,,,,,0.95,,,,,,111020.5,1.03,0.68,0.061662693,COMPLETE,0
62,TPE,0.94515,22:04.1,22:08.2,0 days 00:00:04.067662,,KNN,,NONE,,WAVE,,minkowski,1,,,,,1,,,,,,111174.15,3.2,0.54,0.062088032,COMPLETE,0
63,TPE,0.94515,22:08.2,22:12.3,0 days 00:00:04.161910,,KNN,,NONE,,WAVE,,minkowski,1,,,,,1,,,,,,111174.15,3.25,0.54,0.043477306,COMPLETE,0
64,TPE,0.94515,22:12.3,22:16.4,0 days 00:00:04.076317,,KNN,,NONE,,WAVE,,minkowski,1,,,,,1,,,,,,111174.15,3.17,0.55,0.049768934,COMPLETE,0
65,TPE,0.96682,22:16.4,22:34.4,0 days 00:00:17.966552,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,111327.8,17.09,0.53,0.052912016,COMPLETE,0
66,TPE,0.96682,22:34.4,22:52.0,0 days 00:00:17.600713,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,111327.8,16.7,0.52,0.041600952,COMPLETE,0
67,TPE,0.89198,22:52.1,22:56.6,0 days 00:00:04.539452,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,111363.44,3.63,0.68,0.055132408,COMPLETE,0
68,TPE,0.224981272,22:56.6,25:36.0,0 days 00:02:39.364594,,MLP,10,NONE,,ENT,,,,0.085108298,,20,8,0.95,,,,,,,,156.78,,PRUNED,0
69,TPE,0.195314426,25:36.0,26:28.6,0 days 00:00:52.665427,,LR,,NONE,,FRAC,17,,,,0.007886978,,,1,,,,,,,,52.37,,PRUNED,0
70,TPE,-0.028134419,26:28.7,27:05.5,0 days 00:00:36.872208,0.026382079,SVM,,NONE,,WAVE,,,,,,,,1,,,sigmoid,,,,,0.51,,PRUNED,0
71,TPE,0.96682,27:05.6,27:23.4,0 days 00:00:17.807950,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,111664.69,16.87,0.56,0.042744884,COMPLETE,0
72,TPE,0.89198,27:23.4,27:27.8,0 days 00:00:04.454789,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,111664.69,3.61,0.63,0.054215689,COMPLETE,0
73,TPE,0.96682,27:27.9,27:45.5,0 days 00:00:17.690573,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,111664.69,16.79,0.55,0.056304712,COMPLETE,0
74,TPE,0.91409,27:45.6,27:50.3,0 days 00:00:04.734724,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.95,,,,,,111700.33,3.7,0.81,0.052245159,COMPLETE,0
75,TPE,0.699448721,27:50.3,28:03.3,0 days 00:00:12.990818,,KNN,,NONE,,COV,,manhattan,2,,,,,1,,,,,,,,0.95,,PRUNED,0
76,TPE,0.162658609,28:03.3,28:06.9,0 days 00:00:03.631224,,KNN,,EMD,0.75,STAT,,manhattan,1,,,,,0.95,,,,,,,,0.88,,PRUNED,0
77,TPE,0.682329281,28:07.0,28:20.2,0 days 00:00:13.232611,,RF,,NONE,,WAVE,,,,,,,,1,610,292,,,,,,0.56,,PRUNED,0
78,TPE,0.91409,28:20.2,28:25.2,0 days 00:00:04.989585,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.95,,,,,,112171.7,3.97,0.81,0.060004253,COMPLETE,0
79,TPE,0.91409,28:25.2,28:29.8,0 days 00:00:04.602320,,KNN,,NONE,,WAVE,,manhattan,3,,,,,0.95,,,,,,112171.7,3.71,0.67,0.042698393,COMPLETE,0
80,TPE,0.96682,28:29.8,28:47.6,0 days 00:00:17.738507,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,112171.7,16.87,0.5,0.041282663,COMPLETE,0
81,TPE,0.96682,28:47.6,29:05.3,0 days 00:00:17.667375,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,112171.7,16.78,0.51,0.041750679,COMPLETE,0
82,TPE,0.92809,29:05.3,29:22.9,0 days 00:00:17.586250,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,112325.35,16.73,0.53,0.060862808,COMPLETE,0
83,TPE,0.92809,29:22.9,29:40.8,0 days 00:00:17.881622,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,112325.35,17.02,0.5,0.051905174,COMPLETE,0
84,TPE,0.96682,29:40.8,29:58.7,0 days 00:00:17.887573,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,112325.35,17.01,0.53,0.053714056,COMPLETE,0
85,TPE,0.92809,29:58.7,30:16.3,0 days 00:00:17.575516,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,112325.35,16.72,0.5,0.052512903,COMPLETE,0
86,TPE,0.656535158,30:16.3,32:58.1,0 days 00:02:41.814610,,KNN,,EMD,1,WAVE,,manhattan,17,,,,,1,,,,,,,,154.56,,PRUNED,0
87,TPE,0.707274203,32:58.1,33:11.4,0 days 00:00:13.276619,,KNN,,NONE,,COV,,manhattan,3,,,,,1,,,,,,,,1.45,,PRUNED,0
88,TPE,0.344063106,33:11.4,33:13.1,0 days 00:00:01.720664,,LR,,NONE,,WAVE,,,,,0.271119828,,,1,,,,,,,,0.56,,PRUNED,0
89,TPE,0.222892563,33:13.1,35:55.6,0 days 00:02:42.452246,,MLP,6,NONE,,ENT,,,,0.007236423,,4,6,1,,,,,,,,156.27,,PRUNED,0
90,TPE,0.94792,35:55.6,36:00.2,0 days 00:00:04.600129,,KNN,,NONE,,WAVE,,manhattan,1,,,,,0.95,,,,,,113155.13,3.7,0.67,0.054305801,COMPLETE,0
91,TPE,0.96682,36:00.2,36:18.0,0 days 00:00:17.759154,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113155.13,16.91,0.5,0.055520077,COMPLETE,0
92,TPE,0.96682,36:18.0,36:35.7,0 days 00:00:17.667816,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113155.13,16.8,0.49,0.041001329,COMPLETE,0
93,TPE,0.92809,36:35.7,36:53.5,0 days 00:00:17.799858,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,113155.13,16.92,0.5,0.061722536,COMPLETE,0
94,TPE,0.96682,36:53.5,37:11.2,0 days 00:00:17.682667,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113155.13,16.81,0.51,0.055313606,COMPLETE,0
95,TPE,0.93976,37:11.2,37:28.9,0 days 00:00:17.695640,,KNN,,NONE,,WAVE,,manhattan,3,,,,,1,,,,,,113308.78,16.85,0.51,0.056984682,COMPLETE,0
96,TPE,0.089823527,37:28.9,37:59.7,0 days 00:00:30.837752,0.055094325,SVM,,NONE,,STAT,,,,,,,,1,,,sigmoid,,,,,0.44,,PRUNED,0
97,TPE,0.659622565,37:59.8,38:05.4,0 days 00:00:05.664160,,RF,,NONE,,WAVE,,,,,,,,1,810,102,,,,,,0.5,,PRUNED,0
98,TPE,0.96682,38:05.4,38:23.3,0 days 00:00:17.871682,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113590.53,16.92,0.58,0.052415867,COMPLETE,0
99,TPE,0.349347059,38:23.3,39:20.3,0 days 00:00:57.008339,,KNN,,EMD,0.4,FRAC,30,manhattan,2,,,,,0.95,,,,,,,,56.01,,PRUNED,0
100,TPE,0.93976,39:20.3,39:38.4,0 days 00:00:18.055257,,KNN,,NONE,,WAVE,,manhattan,3,,,,,1,,,,,,113647.01,17.16,0.52,0.053891916,COMPLETE,0
101,TPE,0.96682,39:38.4,39:56.1,0 days 00:00:17.674746,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113647.01,16.79,0.52,0.052794476,COMPLETE,0
102,TPE,0.92809,39:56.1,40:13.8,0 days 00:00:17.649368,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,113647.01,16.78,0.51,0.051475306,COMPLETE,0
103,TPE,0.96682,40:13.8,40:31.4,0 days 00:00:17.628692,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113647.01,16.73,0.53,0.05151679,COMPLETE,0
104,TPE,0.94792,40:31.4,40:35.9,0 days 00:00:04.428262,,KNN,,NONE,,WAVE,,manhattan,1,,,,,0.95,,,,,,113647.01,3.56,0.61,0.06796505,COMPLETE,0
105,TPE,0.92809,40:35.9,40:53.6,0 days 00:00:17.684228,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,113647.01,16.81,0.49,0.059108276,COMPLETE,0
106,TPE,0.96682,40:53.6,41:11.2,0 days 00:00:17.619702,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113647.01,16.74,0.5,0.054299135,COMPLETE,0
107,TPE,0.885636468,41:11.2,41:13.4,0 days 00:00:02.178088,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,,,0.63,,PRUNED,0
108,TPE,0.214437397,41:13.4,41:15.2,0 days 00:00:01.805941,,KNN,,NONE,,WAVE,,euclidean,12,,,,,0.5,,,,,,,,1.1,,PRUNED,0
109,TPE,0.96682,41:15.2,41:32.9,0 days 00:00:17.638128,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113647.01,16.75,0.52,0.052948256,COMPLETE,0
110,TPE,0.795537453,41:32.9,41:47.9,0 days 00:00:14.963988,,MLP,,NONE,,COV,,,,0.003402214,,104,,0.95,,,,,,,,1.37,,PRUNED,0
111,TPE,0.96682,41:47.9,42:06.4,0 days 00:00:18.510359,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113850.42,16.99,1.09,0.050673742,COMPLETE,0
112,TPE,0.96682,42:06.4,42:24.1,0 days 00:00:17.694075,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113850.42,16.82,0.49,0.053008814,COMPLETE,0
113,TPE,0.96682,42:24.1,42:41.7,0 days 00:00:17.558761,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,113850.42,16.68,0.51,0.052448292,COMPLETE,0
114,TPE,0.93976,42:41.7,42:59.5,0 days 00:00:17.806737,,KNN,,NONE,,WAVE,,manhattan,3,,,,,1,,,,,,113850.42,16.92,0.53,0.05353548,COMPLETE,0
115,TPE,0.885636468,42:59.5,43:01.7,0 days 00:00:02.154776,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,,,0.6,,PRUNED,0
116,TPE,0.312395489,43:01.7,45:19.8,0 days 00:02:18.163532,,KNN,12,NONE,,ENT,,manhattan,1,,,,2,1,,,,,,,,136.43,,PRUNED,0
117,TPE,0.339792047,45:19.8,45:21.6,0 days 00:00:01.759480,,LR,,NONE,,WAVE,,,,,0.662938014,,,1,,,,,,,,0.53,,PRUNED,0
118,TPE,-0.027089028,45:21.6,46:17.2,0 days 00:00:55.530151,0.00011442,SVM,,NONE,,FRAC,13,,,,,,,0.6,,,rbf,,,,,51.98,,PRUNED,0
119,TPE,0.885636468,46:17.2,46:19.4,0 days 00:00:02.219241,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,,,0.61,,PRUNED,0
120,TPE,0.242434643,46:19.4,46:26.0,0 days 00:00:06.595721,,KNN,,EMD,0.8,STAT,,manhattan,1,,,,,1,,,,,,,,0.8,,PRUNED,0
121,TPE,0.96682,46:26.0,46:43.7,0 days 00:00:17.699918,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114250.52,16.79,0.52,0.054536362,COMPLETE,0
122,TPE,0.96682,46:43.7,47:01.4,0 days 00:00:17.692535,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114250.52,16.8,0.52,0.053911705,COMPLETE,0
123,TPE,0.92809,47:01.4,47:19.4,0 days 00:00:17.940534,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,114250.52,17.04,0.51,0.06792428,COMPLETE,0
124,TPE,0.96682,47:19.4,47:37.2,0 days 00:00:17.766421,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114250.52,16.88,0.52,0.054060717,COMPLETE,0
125,TPE,0.885636468,47:37.2,47:39.6,0 days 00:00:02.380355,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,,,0.6,,PRUNED,0
126,TPE,0.827959055,47:39.6,47:47.6,0 days 00:00:08.077642,,RF,,NONE,,WAVE,,,,,,,,1,10,92,,,,,,0.5,,PRUNED,0
127,TPE,0.892082038,47:47.7,47:49.9,0 days 00:00:02.222110,,KNN,,NONE,,WAVE,,euclidean,4,,,,,1,,,,,,,,0.5,,PRUNED,0
128,TPE,0.96682,47:49.9,48:07.5,0 days 00:00:17.645200,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114557.82,16.74,0.5,0.053888102,COMPLETE,0
129,TPE,0.885636468,48:07.6,48:09.9,0 days 00:00:02.366243,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,,,0.76,,PRUNED,0
130,TPE,0.93976,48:09.9,48:27.9,0 days 00:00:17.981591,,KNN,,NONE,,WAVE,,manhattan,3,,,,,1,,,,,,114557.82,16.78,0.82,0.051580687,COMPLETE,0
131,TPE,0.96682,48:27.9,48:45.8,0 days 00:00:17.817314,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114557.82,16.91,0.5,0.053107519,COMPLETE,0
132,TPE,0.96682,48:45.8,49:03.5,0 days 00:00:17.732488,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114557.82,16.83,0.5,0.064476509,COMPLETE,0
133,TPE,0.96682,49:03.5,49:21.2,0 days 00:00:17.697971,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114557.82,16.8,0.5,0.056221743,COMPLETE,0
134,TPE,0.92809,49:21.2,49:39.0,0 days 00:00:17.749058,,KNN,,NONE,,WAVE,,manhattan,2,,,,,1,,,,,,114557.82,16.86,0.51,0.057342548,COMPLETE,0
135,TPE,0.96682,49:39.0,49:56.6,0 days 00:00:17.607601,,KNN,,NONE,,WAVE,,manhattan,1,,,,,1,,,,,,114557.82,16.72,0.49,0.057973881,COMPLETE,0
136,TPE,0.885636468,49:56.6,49:58.9,0 days 00:00:02.306283,,KNN,,NONE,,WAVE,,manhattan,2,,,,,0.95,,,,,,,,0.72,,PRUNED,0
137,TPE,0.882134036,49:59.0,50:06.7,0 days 00:00:07.706811,,KNN,,NONE,,WAVE,,manhattan,18,,,,,1,,,,,,,,0.54,,PRUNED,0
138,TPE,0.782854059,50:06.7,50:19.7,0 days 00:00:13.025312,,KNN,,NONE,,COV,,manhattan,1,,,,,1,,,,,,,,0.97,,PRUNED,0
139,TPE,0.482579038,50:19.7,50:25.2,0 days 00:00:05.492855,,MLP,,NONE,,WAVE,,,,0.014831174,,3,,0.95,,,,,,,,0.71,,PRUNED,0
