Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
28,TPE,0.78783,58:05.1,58:09.4,0 days 00:00:04.315310,,KNN,,WPD,,WAVE,,manhattan,8,,,,,0.75,,,,0.3,db4,109227.67,2.67,1.45,0.06111434,COMPLETE,0
29,TPE,0.55736048,58:09.4,58:12.9,0 days 00:00:03.517016,,KNN,,WPD,,WAVE,,manhattan,8,,,,,0.65,,,,0.3,db4,,,1.41,,PRUNED,0
30,TPE,-0.006857999,58:12.9,59:01.1,0 days 00:00:48.202718,1.056264721,SVM,,WPD,,WAVE,,,,,,,,0.5,,,sigmoid,0.3,db4,,,1.41,,PRUNED,0
31,TPE,0.77993,59:01.1,04:10.3,0 days 00:05:09.146547,,KNN,,WPD,,WAVE,,manhattan,9,,,,,0.75,,,,0.25,db4,109132.04,2.62,306.34,0.071908751,COMPLETE,0
32,TPE,0.79124,04:10.3,09:21.1,0 days 00:05:10.810347,,KNN,,WPD,,WAVE,,manhattan,10,,,,,0.75,,,,0.4,db4,109248.24,2.47,308.15,0.058607607,COMPLETE,0
33,TPE,0.80414,09:21.1,15:29.4,0 days 00:06:08.247832,,KNN,,WPD,,WAVE,,manhattan,9,,,,,0.75,,,,0.5,db4,110060.92,2.54,365.48,0.070670404,COMPLETE,0
34,TPE,0.121170011,15:29.4,15:39.1,0 days 00:00:09.697907,,KNN,,WPD,,STAT,,manhattan,6,,,,,0.85,,,,0.45,db4,,,2.39,,PRUNED,0
35,TPE,0.349257631,15:39.1,20:10.2,0 days 00:04:31.140698,,KNN,15,WPD,,ENT,,manhattan,10,,,,2,0.85,,,,0.6,db4,,,267.95,,PRUNED,0
36,TPE,0.083631835,20:10.3,20:17.0,0 days 00:00:06.712719,,MLP,,NONE,,WAVE,,,,0.001514729,,1,,0.8,,,,,,,,1.78,,PRUNED,0
37,TPE,0.28178994,20:17.0,22:18.8,0 days 00:02:01.775025,,RF,,WPD,,FRAC,40,,,,,,,0.7,1010,302,,0.45,db4,,,116.11,,PRUNED,0
38,TPE,0.77556,22:18.8,22:22.9,0 days 00:00:04.147660,,KNN,,NONE,,WAVE,,manhattan,5,,,,,0.75,,,,,,109257.28,2.6,1.35,0.03987957,COMPLETE,0
39,TPE,0.20296,22:22.9,28:58.2,0 days 00:06:35.311575,,MLP,,WPD,,STAT,,,,0.002371993,,402,,0.85,,,,0.7,db4,,,221.64,,PRUNED,0
40,TPE,-0.008297028,28:58.3,36:15.4,0 days 00:07:17.115826,0.000134262,SVM,13,WPD,,ENT,,,,,,,5,0.8,,,sigmoid,0.2,sym9,,,365.82,,PRUNED,0
41,TPE,0.79124,36:15.4,36:19.8,0 days 00:00:04.448949,,KNN,,WPD,,WAVE,,manhattan,10,,,,,0.75,,,,0.4,db4,111017.99,2.55,1.68,0.061556845,COMPLETE,0
42,TPE,0.71917,36:19.8,36:38.2,0 days 00:00:18.400485,,KNN,,WPD,,WAVE,,manhattan,12,,,,,0.7,,,,0.4,db4,108906.96,16.78,1.45,0.058824329,COMPLETE,0
43,TPE,0.80665,36:38.3,36:43.9,0 days 00:00:05.605572,,KNN,,WPD,,WAVE,,manhattan,11,,,,,0.75,,,,0.55,db4,108919.96,2.72,2.72,0.070016661,COMPLETE,0
44,TPE,0.263259145,36:43.9,38:26.7,0 days 00:01:42.822345,,RF,,WPD,,FRAC,2,,,,,,,0.65,910,12,,0.6,db4,,,102.16,,PRUNED,0
45,TPE,0.77702,38:26.7,38:29.8,0 days 00:00:03.079274,,KNN,,NONE,,WAVE,,minkowski,11,,,,,0.8,,,,,,109023.3,1.43,1.46,0.042981873,COMPLETE,0
46,TPE,0.73337,38:29.8,38:48.3,0 days 00:00:18.487139,,KNN,,WPD,,WAVE,,manhattan,10,,,,,0.7,,,,0.55,db4,108926.58,16.8,1.52,0.057109146,COMPLETE,0
47,TPE,0.82303,38:48.3,38:53.9,0 days 00:00:05.607488,,KNN,,WPD,,WAVE,,manhattan,11,,,,,0.75,,,,0.75,db4,108929.84,2.74,2.69,0.059290199,COMPLETE,0
48,TPE,0.144580278,38:53.9,39:03.6,0 days 00:00:09.703701,,MLP,,WPD,,WAVE,,,,0.006206155,,10,,0.6,,,,0.75,db4,,,1.5,,PRUNED,0
49,TPE,0.424166582,39:03.6,44:57.8,0 days 00:05:54.150855,,KNN,10,WPD,,ENT,,manhattan,12,,,,4,0.8,,,,0.8,db4,,,351.35,,PRUNED,0
50,TPE,0.412206553,44:57.8,46:59.9,0 days 00:02:02.098626,,RF,,NONE,,FRAC,40,,,,,,,0.75,10,102,,,,,,117.65,,PRUNED,0
51,TPE,0.79124,46:59.9,47:04.5,0 days 00:00:04.611377,,KNN,,WPD,,WAVE,,manhattan,10,,,,,0.75,,,,0.4,db4,109955.2,2.6,1.8,0.061094074,COMPLETE,0
52,TPE,0.73117,47:04.5,52:27.4,0 days 00:05:22.866531,,KNN,,WPD,,WAVE,,manhattan,11,,,,,0.7,,,,0.5,coif1,109242.12,19.37,303.33,0.059370546,COMPLETE,0
53,TPE,0.82989,52:27.4,52:32.4,0 days 00:00:04.982640,,KNN,,WPD,,WAVE,,manhattan,10,,,,,0.8,,,,0.4,db4,108922.15,3.38,1.43,0.06037715,COMPLETE,0
54,TPE,0.82092,52:32.4,57:39.3,0 days 00:05:06.918480,,KNN,,WPD,,WAVE,,manhattan,12,,,,,0.8,,,,0.45,coif1,109254.06,3.6,303.15,0.058785706,COMPLETE,0
55,TPE,-0.01470891,57:39.4,04:36.0,0 days 00:06:56.615665,0.035516766,SVM,,WPD,,WAVE,,,,,,,,0.85,,,rbf,0.55,coif1,,,360.04,,PRUNED,0
56,TPE,0.11597973,04:36.0,04:44.7,0 days 00:00:08.753787,,KNN,,WPD,,STAT,,manhattan,15,,,,,0.8,,,,0.95,coif1,,,2.5,,PRUNED,0
57,TPE,0.83577,04:44.8,04:48.2,0 days 00:00:03.387931,,KNN,,WPD,,WAVE,,minkowski,12,,,,,0.85,,,,0.5,coif1,110133.55,1.63,1.55,0.058374434,COMPLETE,0
58,TPE,0.84338,04:48.2,10:54.0,0 days 00:06:05.816999,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.85,,,,0.65,coif1,110033.55,1.69,363.91,0.059002666,COMPLETE,0
59,TPE,0.178288152,10:54.0,10:58.9,0 days 00:00:04.916817,,LR,,WPD,,WAVE,,,,,0.041539715,,,0.95,,,,0.7,coif1,,,2.65,,PRUNED,0
60,TPE,0.85773,10:58.9,11:02.6,0 days 00:00:03.700812,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.9,,,,0.65,coif1,109015.39,2.02,1.49,0.062546759,COMPLETE,0
61,TPE,0.85773,11:02.7,11:06.2,0 days 00:00:03.574330,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.9,,,,0.65,coif1,108908.95,1.91,1.46,0.058357267,COMPLETE,0
62,TPE,0.85773,11:06.2,11:09.9,0 days 00:00:03.674620,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.9,,,,0.65,coif1,108908.95,2.01,1.47,0.073142567,COMPLETE,0
63,TPE,0.85368,11:09.9,11:13.6,0 days 00:00:03.679046,,KNN,,WPD,,WAVE,,minkowski,14,,,,,0.9,,,,0.65,coif1,108947.96,2.02,1.47,0.069036283,COMPLETE,0
64,TPE,0.85368,11:13.6,11:17.3,0 days 00:00:03.689770,,KNN,,WPD,,WAVE,,minkowski,14,,,,,0.9,,,,0.65,coif1,108920.78,2.07,1.43,0.069084444,COMPLETE,0
65,TPE,0.84509,11:17.3,11:21.0,0 days 00:00:03.684775,,KNN,,WPD,,WAVE,,minkowski,17,,,,,0.9,,,,0.65,coif1,108959.79,2.07,1.44,0.059850006,COMPLETE,0
66,TPE,0.674448732,11:21.0,11:23.8,0 days 00:00:02.738218,,KNN,,EMD,0.75,WAVE,,minkowski,17,,,,,0.9,,,,,,,,1.89,,PRUNED,0
67,TPE,0.84148,11:23.8,11:28.3,0 days 00:00:04.489275,,KNN,,WPD,,WAVE,,minkowski,16,,,,,0.95,,,,0.65,coif1,109017.9,2.82,1.47,0.060281544,COMPLETE,0
68,TPE,0.031694054,11:28.3,16:46.5,0 days 00:05:18.165422,,MLP,8,WPD,,ENT,,,,0.087530857,,10,8,0.9,,,,0.65,coif1,,,314.84,,PRUNED,0
69,TPE,0.160344923,16:46.5,16:51.7,0 days 00:00:05.250328,,LR,,NONE,,WAVE,,,,,0.099281546,,,1,,,,,,,,0.91,,PRUNED,0
70,TPE,0.106747487,16:51.7,18:38.4,0 days 00:01:46.697964,0.025726567,SVM,,WPD,,FRAC,18,,,,,,,0.9,,,linear,0.8,coif1,,,104.54,,PRUNED,0
71,TPE,0.84009,18:38.4,18:43.2,0 days 00:00:04.750007,,KNN,,WPD,,WAVE,,minkowski,17,,,,,0.95,,,,0.65,coif1,109544.5,3.07,1.46,0.058672934,COMPLETE,0
72,TPE,0.84148,18:43.2,18:48.0,0 days 00:00:04.818946,,KNN,,WPD,,WAVE,,minkowski,16,,,,,0.95,,,,0.65,coif1,108923.15,3.04,1.49,0.071924009,COMPLETE,0
73,TPE,0.85202,18:48.0,18:51.8,0 days 00:00:03.740751,,KNN,,WPD,,WAVE,,minkowski,14,,,,,0.9,,,,0.7,coif1,108962.16,2.03,1.52,0.074462214,COMPLETE,0
74,TPE,0.85202,18:51.8,18:55.3,0 days 00:00:03.529707,,KNN,,WPD,,WAVE,,minkowski,14,,,,,0.9,,,,0.7,coif1,108923.27,1.87,1.44,0.062040596,COMPLETE,0
75,TPE,0.390521066,18:55.3,23:26.2,0 days 00:04:30.859711,,KNN,,WPD,,COV,,minkowski,14,,,,,0.9,,,,0.7,coif1,,,267.16,,PRUNED,0
76,TPE,0.134817499,23:26.2,27:08.2,0 days 00:03:42.002746,,KNN,,WPD,,STAT,,minkowski,14,,,,,0.9,,,,0.75,coif1,,,220.54,,PRUNED,0
77,TPE,0.490591656,27:08.2,33:13.5,0 days 00:06:05.288841,,RF,,WPD,,WAVE,,,,,,,,0.9,710,92,,0.6,coif1,,,361.81,,PRUNED,0
78,TPE,0.605168731,33:13.5,38:24.8,0 days 00:05:11.217830,,KNN,,EMD,1,WAVE,,minkowski,15,,,,,0.95,,,,,,,,310.17,,PRUNED,0
79,TPE,0.87477,38:24.8,43:36.6,0 days 00:05:11.839464,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.9,,,,0.85,sym9,113706.61,1.91,309.57,0.059431105,COMPLETE,0
80,TPE,0.86514,43:36.6,48:47.6,0 days 00:05:10.959952,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.9,sym9,109291.33,2.67,308.09,0.084099579,COMPLETE,0
81,TPE,0.86514,48:47.6,48:52.2,0 days 00:00:04.551946,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.9,sym9,108841.38,2.88,1.45,0.062165289,COMPLETE,0
82,TPE,0.86514,48:52.2,48:56.5,0 days 00:00:04.363186,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.9,sym9,108841.38,2.67,1.47,0.079384365,COMPLETE,0
83,TPE,0.82492,48:56.6,54:13.4,0 days 00:05:16.844709,,KNN,,WPD,,WAVE,,minkowski,13,,,,,1,,,,0.95,sym9,109466.89,8.76,307.73,0.071312466,COMPLETE,0
84,TPE,0.87307,54:13.4,54:17.7,0 days 00:00:04.281469,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.85,sym9,108978.19,2.58,1.45,0.073499241,COMPLETE,0
85,TPE,0.86514,54:17.7,54:22.4,0 days 00:00:04.631732,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.9,sym9,108896.64,2.96,1.46,0.072992125,COMPLETE,0
86,TPE,0.86514,54:22.4,54:26.7,0 days 00:00:04.345881,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.9,sym9,108896.64,2.72,1.43,0.059855013,COMPLETE,0
87,TPE,0.292640746,54:26.7,58:53.4,0 days 00:04:26.660113,,KNN,,WPD,,COV,,minkowski,13,,,,,1,,,,0.9,sym9,,,261.25,,PRUNED,0
88,TPE,0.626485924,58:53.4,59:31.9,0 days 00:00:38.528317,,MLP,,NONE,,WAVE,,,,0.008469227,,40,,0.95,,,,,,,,1.36,,PRUNED,0
89,TPE,0.095519055,59:31.9,04:38.5,0 days 00:05:06.524825,,LR,8,WPD,,ENT,,,,,0.246025193,,6,0.95,,,,0.85,sym9,,,305.66,,PRUNED,0
90,TPE,0.658203938,04:38.5,09:46.8,0 days 00:05:08.292620,,KNN,,WPD,,WAVE,,euclidean,13,,,,,1,,,,1,sym9,,,303.98,,PRUNED,0
91,TPE,0.86514,09:46.8,09:51.3,0 days 00:00:04.523581,,KNN,,WPD,,WAVE,,minkowski,13,,,,,0.95,,,,0.9,sym9,110786.17,2.82,1.45,0.072048702,COMPLETE,0
92,TPE,0.87603,09:51.3,09:55.6,0 days 00:00:04.266017,,KNN,,WPD,,WAVE,,minkowski,12,,,,,0.95,,,,0.85,sym9,108981.1,2.57,1.49,0.059283047,COMPLETE,0
93,TPE,0.85583,09:55.6,09:59.9,0 days 00:00:04.274016,,KNN,,WPD,,WAVE,,minkowski,15,,,,,0.95,,,,0.9,sym9,108972.32,2.6,1.46,0.077003517,COMPLETE,0
94,TPE,0.86325,09:59.9,10:09.3,0 days 00:00:09.409474,,KNN,,WPD,,WAVE,,minkowski,12,,,,,1,,,,0.9,sym9,109213.32,8.11,0.99,0.059072285,COMPLETE,0
95,TPE,0.86325,10:09.3,10:18.8,0 days 00:00:09.431184,,KNN,,WPD,,WAVE,,minkowski,12,,,,,1,,,,0.9,sym9,108876.34,8.1,0.99,0.072798767,COMPLETE,0
96,TPE,-0.004826931,10:18.8,14:16.4,0 days 00:03:57.642774,0.113566165,SVM,,WPD,,FRAC,29,,,,,,,1,,,sigmoid,0.85,sym9,,,110.98,,PRUNED,0
97,TPE,0.249258933,14:16.4,17:22.9,0 days 00:03:06.457385,,RF,,EMD,0.55,STAT,,,,,,,,0.95,10,302,,,,,,157.83,,PRUNED,0
98,TPE,0.87603,17:22.9,17:27.3,0 days 00:00:04.359250,,KNN,,WPD,,WAVE,,minkowski,12,,,,,0.95,,,,0.85,sym9,109420.42,2.45,1.67,0.07182435,COMPLETE,0
99,TPE,0.84187,17:27.3,17:31.4,0 days 00:00:04.149808,,KNN,,WPD,,WAVE,,minkowski,12,,,,,0.95,,,,0.95,sym9,108970.71,2.48,1.47,0.060734062,COMPLETE,0
100,TPE,0.88186,17:31.4,17:35.7,0 days 00:00:04.243357,,KNN,,WPD,,WAVE,,minkowski,11,,,,,0.95,,,,0.85,sym9,108986.32,2.6,1.44,0.071310797,COMPLETE,0
101,TPE,0.9794,17:35.7,17:39.8,0 days 00:00:04.141038,,KNN,,WPD,,WAVE,,minkowski,1,,,,,0.95,,,,0.85,sym9,108985.18,2.48,1.45,0.071097651,COMPLETE,0
102,TPE,0.9794,17:39.9,17:43.9,0 days 00:00:04.059917,,KNN,,WPD,,WAVE,,minkowski,1,,,,,0.95,,,,0.85,sym9,108909.97,2.39,1.46,0.073107996,COMPLETE,0
103,TPE,0.9794,17:43.9,17:47.9,0 days 00:00:03.947783,,KNN,,WPD,,WAVE,,minkowski,1,,,,,0.95,,,,0.85,sym9,108909.97,2.28,1.45,0.072712221,COMPLETE,0
104,TPE,0.97544,17:47.9,17:56.5,0 days 00:00:08.635676,,KNN,,WPD,,WAVE,,minkowski,1,,,,,1,,,,0.85,sym9,109222.72,7.33,1,0.061618357,COMPLETE,0
105,TPE,0.97544,17:56.5,18:07.4,0 days 00:00:10.831952,,KNN,,WPD,,WAVE,,euclidean,1,,,,,1,,,,0.85,sym9,109234.63,9.51,1,0.072828093,COMPLETE,0
106,TPE,0.97544,18:07.4,18:18.2,0 days 00:00:10.809249,,KNN,,WPD,,WAVE,,euclidean,1,,,,,1,,,,0.85,sym9,108923.43,9.46,1.01,0.084903288,COMPLETE,0
107,TPE,0.97333,18:18.2,24:37.5,0 days 00:06:19.319126,,KNN,,WPD,,WAVE,,euclidean,1,,,,,1,,,,0.8,sym9,110364.35,10.08,368.86,0.072658339,COMPLETE,0
108,TPE,0.91411,24:37.6,24:48.7,0 days 00:00:11.103269,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,109214.96,9.88,0.89,0.040781031,COMPLETE,0
109,TPE,0.91411,24:48.7,24:59.8,0 days 00:00:11.160601,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108913.82,9.91,0.89,0.051481266,COMPLETE,0
110,TPE,0.91411,24:59.8,25:12.0,0 days 00:00:12.191984,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108913.82,9.92,0.9,0.052936096,COMPLETE,0
111,TPE,0.91411,25:12.1,25:23.2,0 days 00:00:11.134425,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108913.82,9.9,0.89,0.051222105,COMPLETE,0
112,TPE,0.91411,25:23.2,25:34.2,0 days 00:00:10.953079,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108913.82,9.69,0.9,0.057687063,COMPLETE,0
113,TPE,0.91411,25:34.2,25:45.3,0 days 00:00:11.174132,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108913.82,9.94,0.9,0.053394575,COMPLETE,0
114,TPE,0.86314,25:45.4,25:56.5,0 days 00:00:11.179051,,KNN,,NONE,,WAVE,,euclidean,3,,,,,1,,,,,,109226.57,9.94,0.9,0.054652233,COMPLETE,0
115,TPE,0.739797462,25:56.6,30:28.4,0 days 00:04:31.832505,,KNN,,NONE,,COV,,euclidean,1,,,,,1,,,,,,,,265.69,,PRUNED,0
116,TPE,0.071657314,30:28.4,35:08.0,0 days 00:04:39.597307,,MLP,11,NONE,,ENT,,,,0.00396438,,3,2,1,,,,,,,,264.88,,PRUNED,0
117,TPE,0.161736393,35:08.0,35:13.2,0 days 00:00:05.169928,,LR,,NONE,,WAVE,,,,,0.648078623,,,1,,,,,,,,0.89,,PRUNED,0
118,TPE,0.844568048,35:13.2,35:18.2,0 days 00:00:04.977179,,KNN,,NONE,,WAVE,,euclidean,2,,,,,1,,,,,,,,0.91,,PRUNED,0
119,TPE,0.412283442,35:18.2,35:20.6,0 days 00:00:02.397669,,KNN,,NONE,,FRAC,10,euclidean,2,,,,,1,,,,,,,,0.44,,PRUNED,0
120,TPE,0.161246102,35:20.6,36:06.5,0 days 00:00:45.893099,0.001892243,SVM,,NONE,,WAVE,,,,,,,,1,,,linear,,,,,1.24,,PRUNED,0
121,TPE,0.91411,36:06.5,36:17.2,0 days 00:00:10.699298,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,111114.69,9.41,0.88,0.039327631,COMPLETE,0
122,TPE,0.86314,36:17.2,36:33.7,0 days 00:00:16.533131,,KNN,,NONE,,WAVE,,euclidean,3,,,,,1,,,,,,108893.7,10.67,5.53,0.053032417,COMPLETE,0
123,TPE,0.91411,36:33.8,36:44.5,0 days 00:00:10.783555,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108893.7,9.55,0.9,0.041546116,COMPLETE,0
124,TPE,0.844568048,36:44.6,36:49.5,0 days 00:00:04.947364,,KNN,,NONE,,WAVE,,euclidean,2,,,,,1,,,,,,,,0.89,,PRUNED,0
125,TPE,0.125631989,36:49.5,39:28.8,0 days 00:02:39.241757,,KNN,,NONE,,STAT,,euclidean,1,,,,,1,,,,,,,,155.74,,PRUNED,0
126,TPE,0.86314,39:28.8,39:40.0,0 days 00:00:11.177849,,KNN,,NONE,,WAVE,,euclidean,3,,,,,1,,,,,,109415.18,9.46,0.9,0.051838417,COMPLETE,0
127,TPE,0.498177493,39:40.0,40:27.4,0 days 00:00:47.401767,,RF,,NONE,,WAVE,,,,,,,,1,810,92,,,,,,38.28,,PRUNED,0
128,TPE,0.91411,40:27.4,40:39.0,0 days 00:00:11.631438,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,109445.63,10.36,0.9,0.052518625,COMPLETE,0
129,TPE,0.844568048,40:39.0,41:55.1,0 days 00:01:16.078903,,KNN,,NONE,,WAVE,,euclidean,2,,,,,1,,,,,,,,72.06,,PRUNED,0
130,TPE,0.91411,41:55.1,42:05.8,0 days 00:00:10.647235,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,109323.95,9.29,0.91,0.052785892,COMPLETE,0
131,TPE,0.91411,42:05.8,42:44.5,0 days 00:00:38.725015,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,109055.07,9.27,29.11,0.04025794,COMPLETE,0
132,TPE,0.844568048,42:44.5,42:49.3,0 days 00:00:04.777906,,KNN,,NONE,,WAVE,,euclidean,2,,,,,1,,,,,,,,0.91,,PRUNED,0
133,TPE,0.91411,42:49.3,42:59.9,0 days 00:00:10.615100,,KNN,,NONE,,WAVE,,euclidean,1,,,,,1,,,,,,108901.77,9.38,0.9,0.053795595,COMPLETE,0
134,TPE,0.86314,43:00.0,43:11.7,0 days 00:00:11.716437,,KNN,,NONE,,WAVE,,euclidean,3,,,,,1,,,,,,108901.77,10.47,0.9,0.05240633,COMPLETE,0
